0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 3 4 5 29 1 2 0 0 0 0 1 2 0 0 1 2 0 0 7 8 3 4 5 0 0 0 7 8 9 10 0 0 0
7 8 3 3 4 5 7 11 0 0 0 0 7 11 0 0 7 8 0 0 7 8 3 3 4 5 0 0 7 8 9 10 0 0 0
7 8 3 3 3 4 12 11 0 0 0 0 12 11 0 0 7 8 0 0 7 8 3 3 3 4 5 0 7 8 9 10 0 0 0
7 11 3 3 3 3 28 28 0 0 0 0 7 11 0 0 7 8 0 0 7 8 3 3 3 3 4 5 7 8 9 10 0 0 0
12 11 3 3 3 3 1 2 0 0 0 0 12 11 0 0 7 8 0 0 7 8 3 3 3 3 3 4 7 8 9 10 0 0 0
28 28 28 28 28 28 28 28 28 28 28 28 28 28 0 0 28 28 0 0 28 28 28 28 28 28 28 28 28 28 9 10 0 0 0
1 2 14 15 14 15 1 2 16 17 14 15 1 2 0 0 1 2 0 0 1 2 14 15 14 15 14 15 1 2 9 10 0 0 0
7 11 0 0 0 0 7 11 18 19 20 20 7 8 0 21 7 8 0 21 7 8 20 20 0 21 0 0 7 8 28 28 0 0 0
12 11 0 0 0 0 12 11 0 0 20 20 7 8 22 23 7 8 22 23 7 8 20 20 22 23 0 0 7 8 14 15 0 0 0
24 25 24 25 24 25 24 25 24 25 24 25 24 25 24 25 24 25 24 25 24 25 24 25 24 25 24 25 28 28 24 25 0 0 0
26 27 26 27 26 27 26 27 26 27 26 27 26 27 26 27 26 27 26 27 26 27 26 27 26 27 26 27 1 2 26 27 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
