0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 2 2 2 2 1 1 1 2 2 2 2 2 1 1 1 1 1 1 3 4 4 5 0  
6 7 7 7 7 7 8 8 6 7 7 7 7 7 8 8 8 8 8 8 9 10 10 11 0 
12 13 12 12 12 12 7 7 12 13 12 12 12 12 7 7 7 7 14 14 15 16 17 18 0
13 19 13 13 13 13 13 13 13 19 13 13 13 13 13 13 13 13 19 20 21 22 17 11 0
23 24 25 23 23 25 23 25 23 24 25 23 23 25 23 25 25 26 24 27 28 29 30 31 0
32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
