0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 1 2 3 2 3 2 3 2 3 2 3 1 1 1 1 1 1 2 3 2 3 2 3 2 3 2 3 1 1 1 1 1 1 1 1 1 1 1 1 4 5 6 7 6 7 8 0 0 0 0 0 0 0 0 
9 10 11 12 11 12 11 12 11 12 11 12 13 13 13 13 9 10 11 12 11 12 11 12 11 12 11 12 13 13 13 13 13 13 13 13 13 13 13 13 0 0 14 15 14 15 16 0 0 0 0 0 0 0 0 
17 18 17 18 17 18 17 18 17 18 17 18 19 20 19 20 17 18 17 18 17 18 17 18 17 18 17 18 19 20 19 20 19 20 19 20 19 20 19 20 0 21 22 23 22 23 24 0 0 0 0 0 0 0 0 
11 12 25 26 11 12 11 12 11 12 11 12 11 12 11 12 11 12 25 26 11 12 11 12 11 12 11 12 11 12 11 12 11 12 11 12 25 26 25 26 0 27 28 29 14 15 30 0 0 0 0 0 0 0 0 
17 18 31 32 17 18 17 18 17 18 17 18 17 18 17 18 17 18 31 32 17 18 17 18 17 18 17 18 17 18 17 18 17 18 17 18 31 32 31 32 0 33 34 0 22 23 35 0 0 0 0 0 0 0 0 
25 26 0 0 25 26 25 26 25 26 25 26 25 26 25 26 25 26 0 0 25 26 25 26 25 26 25 26 25 26 25 26 25 26 25 26 0 0 0 0 0 27 30 58 14 15 16 0 0 0 0 0 0 0 0 
31 32 36 37 31 32 31 32 31 32 31 32 31 32 31 32 31 32 36 37 31 32 31 32 31 32 31 32 31 32 31 32 31 32 31 32 36 37 0 0 0 33 35 58 22 23 24 0 0 0 0 0 0 0 0 
38 39 40 41 0 0 38 39 38 39 0 0 38 39 0 0 38 39 40 41 0 0 38 39 38 39 0 0 38 39 0 0 0 0 0 0 40 41 0 0 0 33 42 58 22 43 16 0 0 0 0 0 0 0 0 
44 45 46 47 48 48 44 45 44 45 48 48 44 45 48 48 44 45 46 47 48 48 44 45 44 45 48 48 44 45 48 48 48 48 49 50 46 47 51 52 53 54 55 58 55 56 24 0 0 0 0 0 0 0 0 
57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
